"","effect for IQR","lower CI","upper CI"
"bc_30d",-12.1567831371696,-14.652357016278,-9.66120925806122
"bc_3090d",-12.4644410259937,-15.1559094264406,-9.77297262554694
"bc_90280d",-9.18724234348682,-11.9948435791744,-6.37964110779927
"bc_280d",-31.1516637732744,-35.455818425492,-26.8475091210569
