"","OR for IQR","lower CI","upper CI"
"no2_30d",1.00033899164365,0.983941620034359,1.01700962519269
"no2_3090d",1.06271206425867,1.04587876878642,1.07981628963687
"no2_90280d",1.04646715283473,1.02821187549738,1.06504654153337
"no2_280d",1.09373955453252,1.06779701408316,1.1203123790116
