"","effect for IQR","lower CI","upper CI"
"no2_30d",-7.75194296910919,-9.28720191760019,-6.21668402061818
"no2_3090d",-5.08832756525474,-6.67639995163935,-3.50025517887013
"no2_90280d",-14.9731961792931,-16.4019448589598,-13.5444474996265
"no2_280d",-23.6066782545812,-25.7623065634115,-21.4510499457508
