"","OR for IQR","lower CI","upper CI"
"bc_30d",1.05809796818752,1.04439396588282,1.07198178738633
"bc_3090d",1.08111698336106,1.06618501523384,1.09625807435998
"bc_90280d",1.02427216804777,1.01170566765918,1.03699475823309
"bc_280d",1.15562810649104,1.13160695062677,1.18015917079016
