"","coef","robust.se","diff","diff_lci","diff_uci"
"bc_all",-25.8052690465523,4.61211241077638,-3.7316290961589,-5.0388171013323,-2.42444109098551
"no2_all",-1.68353647602622,0.0905530812166009,-16.5008841123732,-18.24043047182,-14.7613377529264
