"","coef","robust.se","OR","OR_lci","OR_uci"
"bc_all",0.27086899227458,0.0693481874393224,1.03994686569782,1.01970626513868,1.06058923088762
"no2_all",0.00561112229691176,0.00131504949117072,1.05653683204146,1.03018047400263,1.08356749679315
