"","coef","robust.se","diff","diff_lci","diff_uci"
"bc_all",-30.3511288443815,4.82756075800494,-4.38899339869869,-5.75724485379442,-3.02074194360297
"no2_all",-1.56114774507917,0.0943865707598203,-15.3013126776131,-17.1145012885359,-13.4881240666903
