"","coef","robust.se","OR","OR_lci","OR_uci"
"bc_all",0.298108790312846,0.072178496445472,1.04405137035147,1.02290999585316,1.06562969210563
"no2_all",0.00676725921909305,0.0013546761116771,1.0685772499518,1.04112768525282,1.09675052857448
