"","coef","robust.se","diff","diff_lci","diff_uci"
"bc_all",-22.9647824963636,4.65992631345457,-3.32087413604549,-4.64161379705352,-2.00013447503747
"no2_all",-1.70527205041665,0.0910264452320445,-16.7139214888956,-18.4625612843546,-14.9652816934365
