"","effect for IQR","lower CI","upper CI"
"bc_30d",-7.02133651898216,-8.26472876106178,-5.77794427690253
"bc_3090d",-9.59967068809411,-10.9077254033688,-8.29161597281942
"bc_90280d",-4.56376175504226,-5.87314719303751,-3.25437631704701
