"","effect for IQR","lower CI","upper CI"
"no2_30d",-10.3856874694154,-13.4623869353817,-7.30898800344917
"no2_3090d",-6.72507720842894,-10.0919353818376,-3.35821903502024
"no2_90280d",-13.9045231988994,-16.3767729235512,-11.4322734742477
"no2_280d",-25.9383871805704,-30.1424549297734,-21.7343194313674
