"","OR for IQR","lower CI","upper CI"
"no2_30d",1.00092774338379,0.984508674000833,1.0176206405618
"no2_3090d",1.06510467193201,1.04825843169126,1.08222164294075
"no2_90280d",1.03589549924751,1.01758498784433,1.05453549156074
"no2_280d",1.08606490096909,1.06015661355739,1.11260633950962
