"","OR for IQR","lower CI","upper CI"
"bc_30d",1.05635939508839,1.04265030712814,1.07024873436723
"bc_3090d",1.09075557628303,1.07570717506782,1.10601449424888
"bc_90280d",1.02229889127358,1.00972721284782,1.03502709425016
"bc_280d",1.16113039394588,1.13697115905293,1.1858029827845
