"","effect for IQR","lower CI","upper CI"
"bc_30d",-12.0977071221479,-14.5945131070626,-9.60090113723306
"bc_3090d",-12.6170451092789,-15.3126371840355,-9.92145303452229
"bc_90280d",-9.17857917192924,-11.9936478948559,-6.36351044900256
"bc_280d",-31.2302448295849,-35.5418255485674,-26.9186641106024
