"","coef","robust.se","OR","OR_lci","OR_uci"
"bc_30d",0.917823166773257,1.03143335933582,0.150330810898575,-0.180783726893385,0.481445348690534
"bc_3090d",1.26046504402579,1.83437197077259,0.199729606044958,-0.369971596379813,0.769430808469729
"bc_90280d",-0.726627308034615,0.904655509837339,-0.106743328328185,-0.367214910743242,0.153728254086873
"no2_30d",0.00643420948782773,0.0137158918060105,0.0823217671015083,-0.26162531485041,0.426268849053426
"no2_3090d",0.00449762000099442,0.0075726877007041,0.0559715738415984,-0.128735231571145,0.240678379254342
"no2_90280d",0.00640867053438603,0.00442597896078451,0.0688485622418977,-0.0243446681620348,0.16204179264583
