"","effect for IQR","lower CI","upper CI"
"bc_30d",-8.32248479143437,-9.57449445939078,-7.07047512347797
"bc_3090d",-9.26136931942799,-10.5780490345941,-7.94468960426185
"bc_90280d",-2.97074891523733,-4.28723320003379,-1.65426463044086
