,optimal_ntrees,AAC,depth,col_rate
1,15451,0.067553199,6,0.8
2,8407,0.067470964,6,0.9
3,3647,0.067584824,6,1
4,12457,0.06589919,8,0.8
5,9340,0.066215465,8,0.9
6,5902,0.06563363,8,1
7,19093,0.062940742,10,0.8
8,9550,0.063283311,10,0.9
9,15451,0.062796514,10,1
