"","OR for IQR","lower CI","upper CI"
"bc_30d",1.03186301325471,1.01728804870292,1.04664679731634
"bc_3090d",1.04216312816347,1.02672223811446,1.05783623397313
"bc_90280d",1.01919549783772,1.00400265478344,1.03461824315269
