"","minimum","objective","rate","depth","ntree"
"bc_30280ddepth3rate0.8",881.064550764008,0.032822589862184,0.8,3,881
"bc_30280ddepth3rate0.9",760.091405335292,0.0330096734274107,0.9,3,760
"bc_30280ddepth3rate1",845.286988754706,0.0328804193533401,1,3,845
"bc_30280ddepth4rate0.8",654.146410755576,0.0300555738966576,0.8,4,654
"bc_30280ddepth4rate0.9",779.341950617598,0.030296602831061,0.9,4,779
"bc_30280ddepth4rate1",707.121368923967,0.0303438479094041,1,4,707
"bc_30280ddepth5rate0.8",495.118713638245,0.0299113669661093,0.8,5,495
"bc_30280ddepth5rate0.9",489.260980159049,0.0299326850810962,0.9,5,489
"bc_30280ddepth5rate1",590.313288366161,0.0299139400695192,1,5,590
"bc_30280ddepth6rate0.8",367.336828997351,0.030311703500557,0.8,6,367
"bc_30280ddepth6rate0.9",362.976279427686,0.0304572798669925,0.9,6,363
"bc_30280ddepth6rate1",417.268088462722,0.030458227103973,1,6,417
