"","minimum","objective","rate","depth","ntree"
"no2_30ddepth3rate0.8",1091.29680024764,0.0172291790813365,0.8,3,1091
"no2_30ddepth3rate0.9",1054.07255554761,0.0173118256277449,0.9,3,1054
"no2_30ddepth3rate1",1126.40804983248,0.0172109823314531,1,3,1126
"no2_30ddepth4rate0.8",1162.05279277335,0.0154630161465691,0.8,4,1162
"no2_30ddepth4rate0.9",1072.09986391809,0.0156650288744327,0.9,4,1072
"no2_30ddepth4rate1",1065.85995020093,0.0155849986201557,1,4,1066
"no2_30ddepth5rate0.8",1078.24987249,0.0147565584284657,0.8,5,1078
"no2_30ddepth5rate0.9",1144.15385246515,0.0145603185449032,0.9,5,1144
"no2_30ddepth5rate1",1048.75556459082,0.0145663134622832,1,5,1049
"no2_30ddepth6rate0.8",941.064486253239,0.0141578264275243,0.8,6,941
"no2_30ddepth6rate0.9",940.157095153926,0.0141570809543466,0.9,6,940
"no2_30ddepth6rate1",1149.39318003639,0.0141849314020461,1,6,1149
