optimal_ntrees,AAC,depth,col_rate
9549.91114314123,0.0741605481214991,6,0.8
3626.20933338255,0.0742005311642562,6,0.9
9675.38825875867,0.0745608614121975,6,1
9551.71466670357,0.0730950716805378,8,0.8
9551.0311394631,0.0729694282316663,8,0.9
15419.1485540583,0.0728730890994815,8,1
3522.68500220684,0.0704385291127204,10,0.8
15451.2390679844,0.0701552267841859,10,0.9
9549.76831524138,0.0702338925789138,10,1
