"","OR for IQR","lower CI","upper CI"
"bc_30d",1.0425384491434,1.02794748465827,1.05733652172285
"bc_3090d",1.06540211003644,1.04993829431903,1.08109368161135
"bc_90280d",1.03777433501475,1.02239369244459,1.0533863602388
