"","effect for IQR","lower CI","upper CI"
"bc_30d",-9.75194651019469,-10.9865903035298,-8.5173027168596
"bc_3090d",-11.4512043238375,-12.7509737451806,-10.1514349024945
"bc_90280d",-5.55777953796609,-6.86096464823189,-4.2545944277003
