"","minimum","objective","rate","depth","ntree"
"bc_30280ddepth4rate0.8",991.196951875622,0.046132561398547,0.8,4,991
"bc_30280ddepth4rate0.9",996.093997549283,0.0459531078647218,0.9,4,996
"bc_30280ddepth4rate1",994.671024717565,0.0458580344278974,1,4,995
"bc_30280ddepth5rate0.8",988.277143109308,0.0452836773493872,0.8,5,988
"bc_30280ddepth5rate0.9",984.106673435763,0.0453078012610073,0.9,5,984
"bc_30280ddepth5rate1",999.068735271943,0.0451390732149891,1,5,999
"bc_30280ddepth6rate0.8",998.051754681432,0.0443829389253655,0.8,6,998
"bc_30280ddepth6rate0.9",989.472217244474,0.0443568867921339,0.9,6,989
"bc_30280ddepth6rate1",998.185801012196,0.0441574006437507,1,6,998
"bc_30280ddepth7rate0.8",885.426297636286,0.0439225287337908,0.8,7,885
"bc_30280ddepth7rate0.9",895.306655317714,0.0438991611431933,0.9,7,895
"bc_30280ddepth7rate1",910.855288990287,0.0439607514024192,1,7,911
