"","coef","robust.se","diff","diff_lci","diff_uci"
"bc_30d",-72.9295157813053,71.448854091889,-11.945169443029,-34.881943868897,10.991604982839
"bc_3090d",-182.596113057692,158.966963439368,-28.9336462754037,-78.3040420621858,20.4367495113785
"bc_90280d",-48.0255180949959,63.7678961720441,-7.05506604205565,-25.4153420173802,11.3052099332689
"no2_30d",0.118905570492243,0.905314414230135,1.52132390150684,-21.1808274006064,24.2234752036201
"no2_3090d",-0.352945254030955,0.505357113777977,-4.39230111562727,-16.7185585512608,7.93395632000622
"no2_90280d",-0.701521906778171,0.569791176605981,-7.53647334555931,-19.5339728533647,4.46102616224604
