"","OR for IQR","lower CI","upper CI"
"bc_30d",1.07469196056671,1.03740884535512,1.11331498210945
"bc_3090d",1.08075220060801,1.0402840140147,1.12279464394668
"bc_90280d",1.05484189151332,1.01345461282605,1.09791933650451
"bc_280d",1.20565594958248,1.13415940003786,1.28165958745755
