"","OR for IQR","lower CI","upper CI"
"no2_30d",1.0436202865157,0.999084974795851,1.09014080874319
"no2_3090d",1.04893381067854,0.998826468962983,1.1015548479877
"no2_90280d",1.04169830853533,1.00539838492115,1.07930884143052
"no2_280d",1.11360832065257,1.04832585158831,1.182956129478
