label,bestAAC,optimal_ntrees,depth,col_rate
bc_3090d,0.0811612387377341,5902,10,1
bc_30d,0.0700099693052933,9551,10,1
bc_90280d,0.0617633763758698,9550,10,0.8
no2_3090d,0.0444273489258566,9550,10,1
no2_30d,0.0327243633538793,6920,8,0.8
no2_90280d,0.0402869253191902,10463,6,0.8
