"","coef","robust.se","OR","OR_lci","OR_uci"
"bc_30d",0.349485788447784,0.0971938708663985,1.05891255327369,1.02638298191409,1.09247309750743
"bc_30280d",0.565215908378977,0.111851202632129,1.08556749102788,1.05154288993253,1.1206930205692
"no2_30d",0.00449812618338362,0.000950899731014018,1.05923904450119,1.03427996078158,1.08480043696094
"no2_30280d",0.00632732412489352,0.00124705157570938,1.06567761786208,1.03981070111132,1.09218801460539
