"","coef","robust.se","diff","diff_lci","diff_uci"
"bc_30d",-68.2640567441512,7.217894700148,-11.1810110891544,-13.4981262433603,-8.86389593494847
"bc_30280d",-49.0454656094203,8.33097209538647,-7.12431141384417,-9.49616460232528,-4.75245822536306
"no2_30d",-0.644413074005987,0.0854534107980331,-8.24487034434404,-10.3877460466693,-6.10199464201877
"no2_30280d",-1.38884793645436,0.107834578146673,-13.962586199116,-16.0873825122407,-11.8377898859913
